loss_history;ece;nll;mse;accuracy;entropy;auc;f1;classes
0,1497;0,036842907745905915;0,07871933291658273;0,0303;0,984 0,0009506903808831346;0,1894768105558176  0,441645329044806;1,0;0,9838;25
0,1565;0,03530135756805038;0,08408702435564905;0,0401;0,976 0,0006282317754531253;0,21464965290308036  0,46208293064566947;1,0;0,9752;50
0,1465;0,025195008733747876;0,11706903558020063;0,0431;0,976 0,00045016332921354874;0,1658545511666286  0,43824716623633453;0,9996;0,9759;75
0,172;0,03111333292703054;0,13986207371109793;0,0516;0,97 0,0004045159038428281;0,21697160088441964  0,49442193855646344;0,999;0,9695;100
0,1405;0,04407513589422945;0,11534928504622992;0,0398;0,9792 0,00024932141698363885;0,2693102099492642  0,5135246060058988;0,9994;0,9788;125
0,1674;0,03426097161467435;0,1170564274988942;0,0468;0,9747 0,0002447515056911431;0,24660151344682266  0,526063466973695;0,9999;0,9739;150
0,163;0,028136168355569195;0,11975428046600395;0,052;0,9646 0,0002329696110356938;0,25611965269539533  0,5132135889421131;1,0;0,9631;175
0,1834;0,030209804478456902;0,15778502224748409;0,0672;0,955 0,0002635212692485567;0,31152540117315064  0,6382382424697413;0,9999;0,9512;200
0,1748;0,030272220566948924;0,14677515193889054;0,0614;0,9582 0,00021404538154667918;0,28865970513255995  0,5967668517352012;0,9999;0,9564;225
0,1834;0,027435053247180853;0,15566842757634344;0,0678;0,9536 0,00021271949799150924;0,31132857715986983  0,58827524832031;0,9999;0,952;250
0,2125;0,032076868506025806;0,17411540746829599;0,0739;0,9535 0,0002108044264022002;0,36286874111784595  0,6129709639489868;0,9999;0,9517;275
0,2048;0,02365971774369121;0,1808084200741172;0,0806;0,9447 0,00021058782064975468;0,3437020357856897  0,6346900257009693;0,9999;0,9415;300
0,2521;0,027408195374859824;0,2242955339299054;0,0979;0,9317 0,00023622052601246502;0,3778734007788437  0,6830961963147132;0,9999;0,9284;325
0,2334;0,033520863610592255;0,21678548455541585;0,0893;0,9411 0,00020004945688611997;0,4630318304109192  0,7288003804148235;0,9999;0,9388;350
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;375
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;400
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;425
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;450
0,2901;0,02899522160232388;0,2693188329640551;0,1112;0,9225 0,00018347176120858677;0,5012010279512977  0,7619752197909683;0,9998;0,9186;475
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;500
0,2829;0,02855847351712375;0,2719395475509357;0,1073;0,9253 0,00016019261228028547;0,5373806008971158  0,7641131094771211;0,9998;0,9227;525
